permutation,trial,model,f1 score,f1 avg,class 0 f1,class 1 f1,class -1 f1,class 0 precision,class 1 precision,class -1 precision,class 0 recall,class 1 recall,class -1 recall,strategy return,period,training months,fast window,slow window,factor,max transaction,fee_pct,fee_flat
LogisticRegression-p1-tr1-sw1-lw24-fa0.1-max20000-fee_flat14-fee_pct0.0004-#0,0,LogisticRegression,1.1991534992821389,0.3876872155565396,0.20137103684661525,0.5067055393586005,0.49107692307692313,0.362095531587057,0.43212332173048235,0.4320519761775853,0.1394658753709199,0.6124031007751938,0.5687811831789024,88879.98710205451,1,1,1,24,0.1,20000,0.0004,14
LogisticRegression-p1-tr1-sw1-lw24-fa0.1-max30000-fee_flat14-fee_pct0.0004-#0,0,LogisticRegression,1.204450914446086,0.3920844837314873,0.24532058940661092,0.5062330623306234,0.4528972627088518,0.3728813559322034,0.4112725671510348,0.45177304964539006,0.1827893175074184,0.6582100070472163,0.4540270848182466,102978.65748643922,1,1,1,24,0.1,30000,0.0004,14
LogisticRegression-p1-tr1-sw1-lw24-fa0.1-max100000-fee_flat14-fee_pct0.0004-#0,0,LogisticRegression,1.1093451339193128,0.35207127103586583,0.07863974495217854,0.5123492245835727,0.5183561643835616,0.3756345177664975,0.4323800290838585,0.4210057854917668,0.04391691394658754,0.6286116983791402,0.6742694226657163,136184.20296634122,1,1,1,24,0.1,100000,0.0004,14
LogisticRegression-p1-tr1-sw1-lw24-fa0.25-max20000-fee_flat14-fee_pct0.0004-#0,0,LogisticRegression,1.0392564636076993,0.30181052041281153,0.11067877215737137,0.48287266713914484,0.44570502431118314,0.5311203319502075,0.34009983361064894,0.43616177636796194,0.06177606177606178,0.8322475570032574,0.45567522783761394,91962.93542988301,1,1,1,24,0.25,20000,0.0004,14
LogisticRegression-p1-tr1-sw1-lw24-fa0.25-max30000-fee_flat14-fee_pct0.0004-#0,0,LogisticRegression,1.129271540760451,0.33768663361090584,0.17179902755267423,0.491273769210732,0.46619874399704464,0.5353535353535354,0.3611643048640368,0.4206666666666667,0.10231660231660232,0.7679153094462541,0.5227837613918807,96178.5919560923,1,1,1,24,0.25,30000,0.0004,14
LogisticRegression-p1-tr1-sw1-lw24-fa0.25-max100000-fee_flat14-fee_pct0.0004-#0,0,LogisticRegression,1.029358684476366,0.29513050375962735,0.0896184560780834,0.4855849416249702,0.4541552867733125,0.554945054945055,0.3432132030986864,0.42920353982300885,0.048745173745173745,0.8298045602605864,0.48218724109362054,132354.4527647748,1,1,1,24,0.25,100000,0.0004,14
LogisticRegression-p1-tr1-sw1-lw24-fa0.5-max20000-fee_flat14-fee_pct0.0004-#0,0,LogisticRegression,1.102063844308201,0.3105323745446206,0.1770870979400072,0.46898002103049413,0.4559967253376995,0.667574931880109,0.32519139628144367,0.39871152469577664,0.10208333333333333,0.8407163053722903,0.5325047801147228,90150.31476886985,1,1,1,24,0.5,20000,0.0004,14
LogisticRegression-p1-tr1-sw1-lw24-fa0.5-max30000-fee_flat14-fee_pct0.0004-#0,0,LogisticRegression,1.226139377270697,0.3786392914124786,0.3081285444234404,0.4519632414369257,0.46604759141033086,0.6317829457364341,0.40585146286571644,0.33458333333333334,0.20375,0.5098963242224317,0.7676864244741873,97023.94923083112,1,1,1,24,0.5,30000,0.0004,14
LogisticRegression-p1-tr1-sw1-lw24-fa0.5-max100000-fee_flat14-fee_pct0.0004-#0,0,LogisticRegression,1.3071511053397977,0.4364815464908873,0.437857514300572,0.4722132990684228,0.3970802919708029,0.5822959889349931,0.358187134502924,0.4043607532210109,0.35083333333333333,0.6927426955702167,0.390057361376673,143125.1973076515,1,1,1,24,0.5,100000,0.0004,14
LogisticRegression-p1-tr1-sw1-lw24-fa0.8-max20000-fee_flat14-fee_pct0.0004-#0,0,LogisticRegression,1.4148947742744942,0.5138025274800377,0.5755186721991701,0.42068622575832926,0.41868987631699495,0.6611058150619638,0.37869292748433303,0.35371517027863775,0.5095518001469508,0.47315436241610737,0.5129068462401796,102740.14745184587,1,1,1,24,0.8,20000,0.0004,14
