epoch,open,high,low,close,volume
1609488000000,1.012971,1.012971,1.012971,1.012971,0.0
1609491600000,1.016752,1.016752,1.012971,1.012971,1.2549
1609495200000,1.012971,1.012971,1.012971,1.012971,0.2563
1609498800000,1.012971,1.012971,1.012,1.012,42.524
1609502400000,1.012,1.012,1.012,1.012,0.0
1609506000000,1.012,1.012,1.012,1.012,1.4599
1609509600000,1.012,1.012,1.012,1.012,0.0
1609513200000,1.012001,1.03,1.012001,1.026222,1529.85673747
1609516800000,1.026222,1.03028,1.026222,1.026222,1.3591
1609520400000,1.026222,1.026222,1.026222,1.026222,1.9214
1609524000000,1.03028,1.033636,1.0255,1.033636,185.6487
1609527600000,1.028181,1.04789,1.0255,1.04789,2530.33132186
1609531200000,1.04789,1.05,1.04789,1.04789,1492.32537814
1609534800000,1.049998,1.05,1.045,1.045,469.9594
1609538400000,1.045,1.05,1.044545,1.044545,66.96744761
1609542000000,1.044545,1.044545,1.024745,1.024745,1759.62
1609545600000,1.024745,1.029463,1.024285,1.024285,64.1249
1609549200000,1.024285,1.024285,1.024285,1.024285,1.0485
1609552800000,1.024285,1.024285,1.024285,1.024285,0.0
1609556400000,1.024543,1.024543,1.002897,1.002897,4030.3396
1609560000000,1.007059,1.007059,1.007059,1.007059,0.4853
1609563600000,1.007059,1.00706,1.007059,1.007059,95.6951
1609567200000,1.007059,1.015,1.007059,1.011111,987.24329643
1609570800000,1.011111,1.011111,1.011111,1.011111,0.0
1609574400000,1.011111,1.011111,1.011111,1.011111,0.3953
1609578000000,1.011111,1.011111,1.011111,1.011111,0.7322
1609581600000,1.011111,1.015309,1.011111,1.015309,496.04820357
1609585200000,1.011111,1.011111,1.011111,1.011111,0.3059
1609588800000,1.011111,1.011111,1.011111,1.011111,0.0
1609592400000,1.011111,1.024285,1.011111,1.024285,815.9628
1609596000000,1.024285,1.024285,1.020333,1.020333,41.0549
1609599600000,1.020553,1.025,1.020333,1.025,87.70310087
1609603200000,1.020333,1.020333,1.020027,1.020027,38.9041
1609606800000,1.025,1.025,1.020275,1.020275,67.2601
1609610400000,1.025,1.025,1.025,1.025,34.50599913
1609614000000,1.025,1.025,1.025,1.025,0.0
1609617600000,1.025025,1.025025,1.012857,1.013091,740.7902
1609621200000,1.012857,1.017272,1.011269,1.017272,285.0304
1609624800000,1.017272,1.02,1.017272,1.02,225.9136
1609628400000,1.020003,1.020003,1.015,1.015,2.4532
1609632000000,1.015,1.022048,1.015,1.022048,142.3581
1609635600000,1.022048,1.03,1.022048,1.03,776.2433
1609639200000,1.02641,1.02641,1.02641,1.02641,14.4368
1609642800000,1.02641,1.02641,1.02641,1.02641,4.7686
1609646400000,1.02641,1.02641,1.02641,1.02641,0.6655
1609650000000,1.03,1.03,1.02641,1.02641,3.865
1609653600000,1.03,1.03,1.03,1.03,30.0
1609657200000,1.02641,1.02998,1.026409,1.02998,1.2711
1609660800000,1.02998,1.034998,1.026222,1.034998,823.0786
1609664400000,1.029739,1.029999,1.021,1.029999,934.1162
1609668000000,1.03,1.031428,1.026222,1.031428,273.167
1609671600000,1.026222,1.031428,1.026222,1.031428,15.856
1609675200000,1.031428,1.036297,1.011111,1.011111,2923.8098
1609678800000,1.014888,1.014888,1.0075,1.014863,2330.9025
1609682400000,1.0075,1.0075,1.0075,1.0075,16.1012
1609686000000,1.0075,1.014025,1.0061,1.01108,699.7513
1609689600000,1.01108,1.017606,1.005001,1.0075,2707.8866
1609693200000,1.007499,1.007499,1.0029,1.002901,1968.8578
1609696800000,1.002901,1.00706,1.0029,1.0029,180.1622
1609700400000,1.0029,1.0029,1.0029,1.0029,2.7632
1609704000000,1.007059,1.0075,1.002897,1.00706,426.75798051
1609707600000,1.002898,1.002898,1.002898,1.002898,1.2673
1609711200000,1.00706,1.01059,1.00304,1.00304,768.94031949
1609714800000,1.003041,1.003041,1.00304,1.00304,42.4333
1609718400000,1.00304,1.01108,1.002897,1.005872,2062.0742
1609722000000,1.005872,1.01,1.005872,1.01,266.5045
1609725600000,1.005872,1.011269,1.005872,1.011269,176.1872
1609729200000,1.011461,1.011818,1.011461,1.011818,3.6044
1609732800000,1.011461,1.014088,1.00706,1.008236,504.774
1609736400000,1.011111,1.014888,1.00706,1.011724,105.8908
1609740000000,1.010454,1.02,1.006363,1.010953,1420.5717
1609743600000,1.01108,1.01108,1.005872,1.005872,280.0044
1609747200000,1.005872,1.008589,1.005872,1.005872,23.8408
1609750800000,1.005872,1.015,1.005872,1.005872,1316.9856
1609754400000,1.007446,1.016151,1.005872,1.011111,1135.7901
1609758000000,1.011111,1.015,1.003115,1.007333,2746.2487
1609761600000,1.003555,1.003555,1.001154,1.001154,2573.5285
1609765200000,1.0013,1.0013,1.0013,1.0013,3.2159
1609768800000,1.0013,1.009666,0.999777,0.999777,1034.1693
1609772400000,0.999777,0.999777,0.999777,0.999777,0.0
1609776000000,0.999777,1.005,0.99902,0.99902,302.312
1609779600000,0.99902,1.003555,0.99902,1.003555,4.1445
1609783200000,0.999777,0.999777,0.99902,0.99902,4.5602
1609786800000,0.99902,0.99902,0.998595,0.998596,1520.9997
1609790400000,0.998595,1.00304,0.998595,1.00304,300.5531
